week_start,campaign_name,channel,spend_usd
2023-01-02,New year reset,Email,2257.15
2023-01-02,New year reset,Paid social,5252.74
2023-01-09,New year reset,Email,2321.32
2023-01-09,New year reset,Paid social,5702.19
2023-01-16,New year reset,Email,2245.06
2023-01-16,New year reset,Paid social,5655.41
2023-03-06,Spring refresh,Email,2510.12
2023-03-06,Spring refresh,Paid search,6653.47
2023-03-06,Spring refresh,Paid social,9329.74
2023-03-13,Spring refresh,Email,2405.1
2023-03-13,Spring refresh,Paid search,6721.31
2023-03-13,Spring refresh,Paid social,8659.03
2023-03-20,Spring refresh,Email,2514.61
2023-03-20,Spring refresh,Paid search,7099.42
2023-03-20,Spring refresh,Paid social,8291.97
2023-05-01,Memorial day,Paid search,7787.31
2023-05-01,Memorial day,Paid social,17758.83
2023-05-08,Memorial day,Paid search,7513.46
2023-05-08,Memorial day,Paid social,18761.2
2023-07-03,Summer sale,Email,2807.72
2023-07-03,Summer sale,Influencer,7522.41
2023-07-03,Summer sale,Paid social,13984.82
2023-07-10,Summer sale,Email,3638.09
2023-07-10,Summer sale,Influencer,7197.07
2023-07-10,Summer sale,Paid social,13859.53
2023-07-17,Summer sale,Email,3089.11
2023-07-17,Summer sale,Influencer,7846.74
2023-07-17,Summer sale,Paid social,10917.03
2023-09-04,Labor day,Paid search,6956.79
2023-09-04,Labor day,Paid social,16810.35
2023-09-11,Labor day,Paid search,6040.63
2023-09-11,Labor day,Paid social,16400.16
2023-11-20,Black friday,Email,6609.96
2023-11-20,Black friday,Influencer,22998.82
2023-11-20,Black friday,Paid search,34091.75
2023-11-20,Black friday,Paid social,47324.72
2023-11-27,Black friday,Email,6915.07
2023-11-27,Black friday,Influencer,22059.83
2023-11-27,Black friday,Paid search,30052.6
2023-11-27,Black friday,Paid social,56887.46
2023-12-04,Holiday gifting,Email,4277.7
2023-12-04,Holiday gifting,Paid search,12473.19
2023-12-04,Holiday gifting,Paid social,26063.6
2023-12-11,Holiday gifting,Email,4260.69
2023-12-11,Holiday gifting,Paid search,13929.93
2023-12-11,Holiday gifting,Paid social,25542.49
2023-12-18,Holiday gifting,Email,4171.64
2023-12-18,Holiday gifting,Paid search,12252.91
2023-12-18,Holiday gifting,Paid social,25114.21
2024-01-01,New year reset,Email,2608.56
2024-01-01,New year reset,Paid social,7319.45
2024-01-08,New year reset,Email,2671.98
2024-01-08,New year reset,Paid social,6770.54
2024-01-15,New year reset,Email,2511.51
2024-01-15,New year reset,Paid social,5853.93
2024-03-04,Spring refresh,Email,3468.1
2024-03-04,Spring refresh,Paid search,6453.25
2024-03-04,Spring refresh,Paid social,10458.8
2024-03-11,Spring refresh,Email,3106.13
2024-03-11,Spring refresh,Paid search,7829.24
2024-03-11,Spring refresh,Paid social,9278.87
2024-03-18,Spring refresh,Email,3018.28
2024-03-18,Spring refresh,Paid search,7730.28
