transaction_id,timestamp,location,product,category,quantity,unit_price
T100001,2026-01-12 07:01:05,Business School,Cold Brew,Coffee,1,4.50
T100002,2026-01-12 07:12:45,Business School,Tea,Tea,1,3.50
T100002,2026-01-12 07:12:45,Business School,Hot Chocolate,Other Drink,1,4.00
T100003,2026-01-12 07:00:48,Business School,Muffin,Pastry,1,3.50
T100003,2026-01-12 07:00:48,Business School,Drip Coffee,Coffee,2,3.25
T100004,2026-01-12 07:21:06,Business School,Drip Coffee,Coffee,1,3.25
T100005,2026-01-12 07:38:16,Business School,Muffin,Pastry,1,3.50
T100005,2026-01-12 07:38:16,Business School,Breakfast Sandwich,Food,1,6.75
T100006,2026-01-12 07:35:18,Business School,Croissant,Pastry,1,3.75
T100006,2026-01-12 07:35:18,Business School,Hot Chocolate,Other Drink,1,4.00
T100007,2026-01-12 07:02:42,Business School,Latte,Coffee,1,4.75
T100008,2026-01-12 08:17:04,Business School,Breakfast Sandwich,Food,1,6.75
T100009,2026-01-12 08:20:13,Business School,Cappuccino,Coffee,1,4.50
T100009,2026-01-12 08:20:13,Business School,Latte,Coffee,1,4.75
T100010,2026-01-12 08:16:47,Business School,Breakfast Sandwich,Food,1,6.75
T100010,2026-01-12 08:16:47,Business School,Drip Coffee,Coffee,3,3.25
T100011,2026-01-12 08:32:31,Business School,Drip Coffee,Coffee,1,3.25
T100012,2026-01-12 08:40:10,Business School,Cappuccino,Coffee,1,4.50
T100012,2026-01-12 08:40:10,Business School,Cappuccino,Coffee,1,4.50
T100013,2026-01-12 08:35:55,Business School,Croissant,Pastry,1,3.75
T100013,2026-01-12 08:35:55,Business School,Breakfast Sandwich,Food,1,6.75
T100013,2026-01-12 08:35:55,Business School,Bagel,Food,1,4.25
T100014,2026-01-12 08:18:27,Business School,Drip Coffee,Coffee,1,3.25
T100015,2026-01-12 08:46:16,Business School,Muffin,Pastry,1,3.50
T100015,2026-01-12 08:46:16,Business School,Drip Coffee,Coffee,1,3.25
T100015,2026-01-12 08:46:16,Business School,Bagel,Food,1,4.25
T100015,2026-01-12 08:46:16,Business School,Drip Coffee,Coffee,2,3.25
